@relation foot-nutrient-weka.filters.NormalizationFilter

@attribute food_item string
@attribute calories numeric
@attribute protein numeric
@attribute fat numeric
@attribute calcium numeric
@attribute iron numeric

@data

Braised_beef,0.786667,0.684211,0.710526,0.01105,0.381818
Hamburger,0.533333,0.736842,0.421053,0.01105,0.4
Roast_beef,1,0.421053,1,0.005525,0.272727
Beef_steak,0.88,0.631579,0.815789,0.01105,0.381818
Canned_beef,0.36,0.789474,0.236842,0.033149,0.581818
Broiled_chicken,0.186667,0.684211,0.052632,0.008287,0.163636
Canned_chicken,0.333333,0.947368,0.157895,0.019337,0.181818
Beef_heart,0.306667,1,0.105263,0.024862,0.981818
Roast_lamb_leg,0.586667,0.684211,0.5,0.01105,0.381818
Roast_lamb_shoulder,0.68,0.578947,0.631579,0.01105,0.327273
Smoked_ham,0.786667,0.684211,0.710526,0.01105,0.363636
Roast_pork,0.786667,0.631579,0.736842,0.01105,0.363636
Simmered_pork,0.826667,0.631579,0.763158,0.01105,0.345455
Beef_tongue,0.426667,0.578947,0.342105,0.005525,0.363636
Veal_cutlet,0.373333,0.842105,0.210526,0.01105,0.4
Baked_bluefish,0.24,0.789474,0.078947,0.055249,0.018182
Raw_clams,0.066667,0.210526,0,0.212707,1
Canned_clams,0,0,0,0.190608,0.890909
Canned_crabmeat,0.12,0.368421,0.026316,0.09116,0.054545
Fried_haddock,0.24,0.473684,0.105263,0.027624,0
Broiled_mackerel,0.413333,0.631579,0.315789,0,0.090909
Canned_mackerel,0.293333,0.473684,0.210526,0.41989,0.236364
Fried_perch,0.4,0.473684,0.263158,0.024862,0.145455
Canned_salmon,0.2,0.526316,0.105263,0.425414,0.036364
Canned_sardines,0.36,0.789474,0.210526,1,0.363636
Canned_tuna,0.333333,0.947368,0.157895,0.005525,0.127273
Canned_shrimp,0.173333,0.842105,0,0.256906,0.381818
