@relation Cluster3D

@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
2.643665,-0.280259,-0.384346
0.078514,0.430717,-1.503755
0.140897,0.634532,0.817666
2.40364,0.613716,0.213479
0.093208,-0.965248,0.129836
-0.114248,0.891967,0.440858
0.731476,-0.462158,-0.506572
-0.108052,0.716654,-0.650396
0.303312,-0.279031,-0.167444
-0.262911,0.909854,-0.33011
3.125476,-0.052378,0.340941
3.246152,0.130115,-0.455365
0.057234,0.334099,-1.471421
0.100378,0.019682,-0.331619
2.518991,-0.052618,-0.122335
0.017408,0.285224,-1.481646
-0.004134,-0.198813,-1.482597
3.956767,0.013836,-0.019917
0.053551,1.278174,-0.750236
0.098687,-1.415439,-0.600636
0.055894,0.345849,-0.215194
3.46647,-0.169408,0.601538
0.274549,-0.638306,-0.692759
0.144911,-0.134761,0.087863
2.945595,-0.670256,-0.589258
-0.71158,-0.545311,-0.471356
2.540674,-0.200312,-0.125821
0.836039,-0.117533,0.561142
-0.207749,0.060956,0.199193
-0.029659,1.505956,0.22492
2.376336,0.720897,-0.161187
-0.042518,-0.903199,-1.24102
2.424218,-0.547293,-0.660445
0.134097,-0.029062,0.449385
2.088208,-0.278915,0.121156
-0.049415,-1.304373,0.766295
2.23726,0.337966,0.023276
0.006743,-1.152581,0.945237
0.212732,-1.051368,0.180745
-0.027484,1.180397,-1.026116
0.578812,0.073229,0.836941
2.561887,0.37231,0.483895
0.010047,0.082253,1.583772
2.260321,-0.296267,0.28013
2.409643,0.29346,0.558081
-0.481624,-0.626983,0.575284
1.51,0.05,0.03
3.141808,-0.084603,0.028486
-0.072272,0.146442,0.968443
-0.037498,0.381572,-1.514367
2.93136,-0.755829,0.670222
3.815042,0.159826,0.496584
0.005522,-1.229876,0.798467
2.798065,-0.171132,-0.147731
3.066075,-0.66475,0.089908
-0.09812,-0.622691,-1.342367
-0.058377,-0.948078,-1.210888
-0.032163,-1.211965,0.889981
-0.547297,-0.604919,0.533779
0.681842,0.652943,0.510826
-0.438206,-0.90916,-0.336896
2.339251,0.16231,-0.561937
0.007716,1.237083,0.918476
0.037175,-0.452448,0.194682
0.02619,-0.662538,-0.749184
2.861466,0.580292,-0.783153
-0.365155,0.802513,0.368783
2.920027,0.045586,0.015406
0.211844,0.145574,-0.030564
3.818313,0.021029,-0.075319
-0.077354,-0.268769,-1.45807
3.101224,0.044219,-0.375972
2.849076,-0.386941,0.067144
2.577168,0.251262,0.827741
-0.046702,0.91627,0.314505
-0.0802,0.989728,-0.084859
0.079559,0.162347,-1.54246
3.534778,0.03891,0.637828
0.066844,-1.386525,-0.789584
-0.128121,0.393428,0.896751
-0.099901,-0.367503,-1.507642
0.223299,-0.359601,-0.12479
0.029316,-1.494383,-0.451026
3.750339,-0.513598,-0.421557
-0.057579,-1.380759,-0.634384
-0.000058,0.236728,1.560842
-0.164207,0.442821,-0.884466
0.08495,-0.201136,0.386067
-0.027137,-1.524086,0.225254
-0.239167,0.032388,0.275566
3.046062,0.702346,-0.771497
-0.035716,1.489677,-0.471405
-0.010355,-1.016725,-1.12679
-0.636728,-0.117886,0.819284
-0.421635,-0.853679,-0.052253
-0.017637,1.108367,-1.108031
-0.765788,-0.494639,0.444044
-0.091801,1.063929,1.169989
3.068427,0.149987,0.461173
-0.009644,0.541184,-0.922337
-0.485168,-0.876292,-0.057115
-0.039205,-0.308681,-0.115535
-0.738494,0.53578,-0.340917
3.134522,-0.39985,0.087535
2.423726,-0.107554,-0.189105
0.025894,0.729791,1.356671
-0.052362,-1.211693,0.952617
0.03002,0.986277,-1.138358
2.808399,0.124216,-0.012241
2.916469,-0.004347,-0.101082
0.983118,-0.186308,0.124474
3.032592,-0.370933,0.07343
2.832492,-0.475516,0.539221
-0.021675,-0.356646,-1.430051
0.205163,0.308674,0.0873
0.842444,0.566073,-0.046462
2.512692,-0.191192,0.290647
3.199465,0.667539,-0.033121
-0.098326,-1.405337,0.618671
0.022849,-1.085864,-1.047071
2.909597,-0.723341,-0.011883
-0.018087,-0.952945,-1.152411
-0.033157,-0.190611,1.447508
2.554935,0.623408,0.359331
0.055007,1.569279,-0.022581
-0.102068,0.932366,0.340904
3.594079,-0.204356,0.299593
-0.232921,0.157828,0.109724
-0.677196,0.455536,0.547832
2.32158,-0.002853,-0.664196
0.726575,0.61473,-0.099154
-0.021206,-0.747443,-1.288507
0.757695,-0.465298,0.32216
2.185568,-0.428896,0.102849
-0.69716,0.400675,0.524591
2.672599,0.154727,-0.520735
2.638203,-0.371973,-0.259693
0.088492,0.329301,0.270187
0.492531,0.824022,0.433948
-0.01859,1.507753,0.508713
2.958287,-0.126681,0.448556
0.200546,-0.982069,-0.023191
3.075069,0.303018,-0.635983
0.046665,-1.488141,0.438974
3.586882,0.703272,-0.487455
-0.422889,-0.902069,0.170529
-0.089772,0.061926,1.011028
3.083361,0.266843,-0.991452
0.008663,1.296397,0.751882
3.697428,0.746125,-0.126395
2.894839,-0.106434,0.149015
2.5221,0.23202,-0.146993
3.034552,0.131408,-0.038982
-0.067506,-0.255929,-0.968044
0.952404,-0.181125,-0.015887
0.107745,0.552518,0.856083
-0.666004,-0.654697,-0.275943
2.773934,-0.778869,0.380998
2.746408,-0.818632,-0.269682
-0.869176,-0.528065,-0.031746
0.852965,0.377374,-0.28256
0.079745,1.14979,0.95072
2.547429,-0.513503,0.677755
0.320949,0.893033,-0.026077
-0.152297,0.816203,0.533494
2.576608,-0.654133,0.474204
-0.134438,-0.060239,0.042342
-0.076531,-1.454632,-0.375035
-0.041264,-1.274818,-0.817662
3.36347,-0.579001,-0.223318
-0.006936,1.259381,0.798045
-0.075222,1.361508,-0.741379
-0.099072,0.352469,1.51149
2.613009,0.381234,-0.677287
0.793478,-0.67291,0.11971
-0.011204,-0.035952,0.057444
2.590365,0.453454,-0.569893
0.704626,-0.299863,-0.615435
3.727586,-0.247422,0.455869
3.015577,0.279441,-0.377252
-0.618023,0.570339,0.413449
0.971411,-0.050834,-0.334764
0.063136,1.094829,1.063184
3.455485,0.201792,-0.487079
0.275782,0.803408,-0.514602
2.290637,0.010876,-0.696753
2.680362,-0.085862,0.055215
-0.276812,-0.163764,-0.936204
-0.713736,0.444757,-0.524857
3.106974,0.194288,-0.643109
2.836395,-0.810283,0.323573
1.82,1.1,-0.7
2.331452,0.5406,0.283547
-0.074232,1.146871,0.962835
0.673563,0.594541,-0.457038
